Функционал;Сетевой порт, протокол;Ресурс
Подключение, изменение параметров подключения, автоматическая настройка параметров документооборота, проверка отчетов в интернете;80 HTTP;regservice.keydisk.ru
ФНС, СФР (бывш. ПФР), Росстат, Банк России;465 SMTP и 110 POP3 (резервные: 25 SMTP и 995 POP3);report.keydisk.ru
ФНС;443 HTTPS;https://gosreg.1c.ru/gosreg
ФНС;443 HTTPS;1cpoagate.1c.ru
ФСРАР;443 HTTPS;service.fsrar.ru
;;service.alcolicenziat.ru
СФР (бывш. ФСС);80 HTTP;f4.fss.ru
;80 HTTP;docs.fss.ru
;443 HTTPS;eln.sfr.gov.ru и eln.fss.ru
;443 HTTPS;docs.fss.ru
;443 HTTPS;ecp.sfr.gov.ru
;443 HTTPS;sedo.keydisk.ru
Росприроднадзор;443 HTTPS;rpn.keydisk.ru
ФТС;443 HTTPS;*.customs.ru
Росстат;80 HTTP;websbor.gks.ru, online.gks.ru
СПАРК;443 HTTPS;1cservice.spark-interfax.ru
Сбербанк;443 HTTPS;reportbank.1c.ru
Автоматическая загрузка и подключение внешних модулей отчетности, настроек сервиса.;80 HTTP;downloads.1c.ru
Автоматическое обновление отчетности через внешние формы;80 HTTP, 443 HTTPS;downloads.v8.1c.ru
;80 HTTP, 443 HTTPS;login.1c.ru
Диагностика;443 HTTP;reputils.1c.ru
Техподдержка при подключении сервиса «1С-Отчетность»;80 HTTP;callback.keydisk.ru
Установка криптопровайдера КриптоПро CSP из помощника подключения сервиса «1С-Отчетность»;443 HTTPS;www.cryptopro.ru
Установка криптопровайдера ViPNet CSP из помощника подключения сервиса «1С-Отчетность»;443 HTTPS;getserial.infotecs.ru
Установка драйверов Рутокена из настройки рабочего места;80 HTTP;http://download.rutoken.ru
Установка Единого Клиента JaCarta из настройки рабочего места;443 HTTPS;https://update.aladdin-rd.ru/ и https://www.aladdin-rd.ru/
;;1c.com, 1c-api.taxcom.ru, 1c-edo.ru, login.1c.ru, users.v8.1c.ru, edo-integration.1c.ru.
;;webits.1c.ru, downloads.v8.1c.ru.
Диадок;80 HTTP, 443 HTTPS;*.kontur.ru
